id,nombre,pm,categoria,semaforo,carga,situacion,estrategia,created_at,categorias,audiencia_genero,audiencia_edad,audiencia_pais
2651cf0e-3d0d-4b63-bdb7-c39e10a16d01,Pame Airikairi,Fer,Lifestyle,amarillo,talento nuevo,Talento nuevo en MOVDI.,Definir pilares de contenido y comenzar a construir historial de marcas.,2026-05-21T02:23:45.28106+00:00,"[""Lifestyle""]",,,
4634de47-f9fd-428d-bab7-30e0fa9cee23,Paulina del Campo,Glo,Lifestyle,verde,muchas campañas,Engagement muy fuerte y natural. Las oportunidades fluyen casi por sí solas.,Facilitar al máximo la ejecución. Aprovechar momentum para propuestas de mayor envergadura.,2026-05-21T02:23:45.28106+00:00,"[""Arte"", ""Belleza"", ""Comedia"", ""Entretenimiento"", ""Fitness"", ""Foodies"", ""Lifestyle"", ""Moda"", ""Motivación"", ""Viajes"", ""Wellness""]",,,
47d262a4-a3c3-4819-8113-594ffda31d3f,Renrize,Glo,Lifestyle/Gamer,verde,pocas campañas,Buena disposición para trabajar. Campañas relacionadas con fútbol cerradas. Marcas la contemplan en ese nicho.,Reforzar posicionamiento fútbol. Explorar extensiones hacia lifestyle deportivo.,2026-05-21T02:23:45.28106+00:00,"[""Belleza"", ""Comedia"", ""Cosplay"", ""Educación"", ""Entretenimiento"", ""Fitness"", ""Foodies"", ""Gaming"", ""Geek"", ""Lifestyle"", ""Moda"", ""Tecnología""]",,,
62c4420f-7050-4494-a1ee-fa5b5ede58b6,Nanatyx,Zazil,Gamer,amarillo,muchas campañas,Genera interés y varias cotizaciones pero muchas campañas no terminan aterrizando. Problema de conversión.,Pitches más específicos y aterrizados según cada marca. Enfocar en campañas donde realmente haya fit.,2026-05-21T02:23:45.28106+00:00,"[""Belleza"", ""Comedia"", ""Cosplay"", ""Entretenimiento"", ""Familia"", ""Gaming"", ""Geek"", ""Lifestyle"", ""Moda""]",65.6% M / 34.4% H,25-34,México 50%
650dd1d1-dd55-40a2-9b11-f81e9b068a7f,Artux Creed,Isaac,Gamer,amarillo,pocas campañas,Directos más constantes. Hueco en TikTok e IG que son los que más pesan para las marcas.,Crear contenido formato corto: su perspectiva de ingeniero aplicada al gaming. Ángulo diferenciador.,2026-05-21T02:23:45.28106+00:00,"[""Entretenimiento"", ""Gaming"", ""Geek"", ""Tecnología""]",,,
66bc5b19-608f-497a-9567-f113126fb2f4,Maryblog,Sof,Gamer,amarillo,pocas campañas,"Tiene imagen, estética y presencia. Al cerrar, las marcas eligen perfiles más fáciles de adaptar.","Fortalecer posicionamiento en comunidad gamer. Activar contenido vlogs, GRWM. Menos trends de baile.",2026-05-21T02:23:45.28106+00:00,"[""Gaming"", ""Lifestyle""]",,,
6777ca3d-08ed-48ef-aabe-091a9409e26d,Vicky Palami,Sof,Gamer,verde,muchas campañas,"Líder muy clara dentro del gaming. Tiene estructura, consistencia y mucha claridad en contenido comercial.",Mantener posicionamiento. Explorar campañas más premium. Extensiones hacia lifestyle y tech.,2026-05-21T02:23:45.28106+00:00,"[""Gaming"", ""Lifestyle""]",,,
68131a39-c13b-48af-9aaa-a7a8b73500ed,Latesito,Isaac,Gamer,amarillo,pocas campañas,Acaba de entrar a MOVDI. Necesita construir imagen propia más definida y fortalecer formato corto en TikTok e IG.,Construir al menos un formato recurrente con nombre y estructura. Algo que una marca pueda patrocinar de forma continua.,2026-05-21T02:23:45.28106+00:00,"[""Comedia"", ""Entretenimiento"", ""Foodies"", ""Gaming"", ""Geek"", ""Lifestyle"", ""Tecnología"", ""Viajes""]",41% M / 58% H,17-24,México 90%
7733babd-cfb2-4a0d-9b01-912a9205ac1e,Hell Sangri,Glo,Lifestyle/Gamer,verde,pocas campañas,"Bastante activo, mucha flexibilidad para distintos tipos de campañas. Marcas lo perciben como confiable.",Mantener cadencia de propuestas. Aprovechar versatilidad para categorías variadas.,2026-05-21T02:23:45.28106+00:00,"[""Arte"", ""Entretenimiento"", ""Familia"", ""Fitness"", ""Foodies"", ""Lifestyle"", ""Moda"", ""Motivación"", ""Wellness""]",,,
7912130c-94cb-475d-9b14-787ebee1bda1,Prishcka,Demian,Gamer,amarillo,talento nuevo,Perfil bastante atractivo con contenido de calidad y buen alcance. Poco tiempo en MOVDI.,"Fortalecer nichos secundarios: clips gameplay formato corto, GRWM, contenido lifestyle.",2026-05-21T02:23:45.28106+00:00,"[""Comedia"", ""Entretenimiento"", ""Familia"", ""Foodies"", ""Gaming"", ""Tecnología""]",59% M / 41% H,18-24,México 64.6%
8a5c95b7-51fe-44ca-b7d5-c598f61de60c,Soy Saac,Demian,Gamer/Lifestyle,amarillo,pocas campañas,Gaming de terror. Empieza a explorar contenido fit y gym con potencial.,"Innovar con contenidos que refuercen gaming, lifestyle y fitness. Mayor calidad de edición.",2026-05-21T02:23:45.28106+00:00,"[""Comedia"", ""Entretenimiento"", ""Fitness"", ""Gaming"", ""Lifestyle""]",61% M / 38% H,18-24,México 54.7%
8e679757-d460-47fc-bb7e-2b27ff638e58,Amanda,Fer,Lifestyle,amarillo,talento nuevo,Talento nuevo en MOVDI.,Definir pilares de contenido y comenzar a construir historial de marcas.,2026-05-21T02:23:45.28106+00:00,"[""Lifestyle""]",,,
9247c5f3-c57d-4494-9ebb-1b2f83068c5d,Alba,Glo,Lifestyle/Gamer,verde,pocas campañas,"Se mantiene igual o mejor que el año anterior. Muy organizada, responsable, excelente comunicación con marcas.",Mantener ritmo. Explorar extensiones de campañas activas y nuevas categorías premium.,2026-05-21T02:23:45.28106+00:00,"[""Belleza"", ""Comedia"", ""Fitness"", ""Foodies"", ""Gaming"", ""Lifestyle"", ""Moda"", ""Motivación"", ""Wellness""]",,,
982ac2bd-e65c-484d-b224-695e19a76b02,Azyhade,Fer,Lifestyle,amarillo,talento nuevo,Talento nuevo en MOVDI.,Definir pilares de contenido y comenzar a construir historial de marcas.,2026-05-21T02:23:45.28106+00:00,"[""Lifestyle""]",,,
98577433-76b1-4400-bac9-23ce9bb8b5a7,Sin6n,Glo,Gamer,verde,muchas campañas,Pidió bajar el ritmo por la escuela. Las campañas nunca han representado un problema.,Respetar su ritmo. Campañas que no demanden tiempos muy apretados. Mantener relación activa.,2026-05-21T02:23:45.28106+00:00,"[""Comedia"", ""Entretenimiento"", ""Gaming"", ""Geek"", ""Lifestyle"", ""Moda"", ""Tecnología""]",,,
99defaab-f483-47c4-b981-5e6d4203bc76,Mingod,Demian,Gamer,amarillo,pocas campañas,"Contenido enfocado en gaming, especialmente CoD. Nicho muy específico.",Implementar contenidos de mayor valor para marcas. Trabajar formatos con mayor desarrollo e interacción.,2026-05-21T02:23:45.28106+00:00,"[""Comedia"", ""Gaming"", ""Tecnología""]",,,
a627d8ab-41cb-4ef0-a6fb-0edb9782a2d2,Gigi,Demian,Gamer/Lifestyle,amarillo,talento nuevo,"Perfil muy atractivo nicho geek, cosplay y humor. Poco tiempo en MOVDI.","Contenido más constante en comedia, gaming y tech. Aprovechar beauty, arte y lifestyle casual.",2026-05-21T02:23:45.28106+00:00,"[""Arte"", ""Belleza"", ""Comedia"", ""Cosplay"", ""Entretenimiento"", ""Geek"", ""Lifestyle"", ""Tecnología""]",,,
ae08623e-d543-4c0f-9c1d-5e2c6029f4dc,Chema Ceja,Fer,Lifestyle,amarillo,talento nuevo,Talento nuevo en MOVDI.,Definir pilares de contenido y comenzar a construir historial de marcas.,2026-05-21T02:23:45.28106+00:00,"[""Lifestyle"", ""Entretenimiento""]",,,
afb35d96-d6b6-4fb7-9313-2111d9c2a4d5,Angie Monsivais,Zazil,Lifestyle,amarillo,normal,Muy asociada con marcas como Shein y SheGlam. Perfil muy disruptivo y urbano.,"Refrescar contenido para mostrar facetas distintas. Buscar campañas beauty, lifestyle y fashion premium.",2026-05-21T02:23:45.28106+00:00,"[""Arte"", ""Belleza"", ""Lifestyle"", ""Moda""]",,,
b1445bc4-43f7-4bef-98f7-f587c4a30288,Maleen,Sof,Lifestyle,amarillo,normal,Ha mejorado mucho. En los últimos 3 meses volvió a tomar fuerza en lifestyle. Perdió posicionamiento por enfocarse en contenido emocional.,"Encaminar hacia marcas lifestyle: música, moda, rutinas, self-care, experiencias.",2026-05-21T02:23:45.28106+00:00,"[""Arte"", ""Belleza"", ""Educación"", ""Entretenimiento"", ""Foodies"", ""Lifestyle"", ""Wellness""]",76.5% M / 23.5% H,25-34,México 41%
b2a6f10a-e8f0-490a-b77b-154553c12b2d,Nezumi,Zazil,Gamer,rojo,pocas campañas,Bien posicionado en gaming pero no logra equilibrar streams con actividad en otras redes. Tarda en responder.,Expandir pilares. Grabar b-rolls para que el lifestyle se sienta natural. Mejorar respuesta operativa.,2026-05-21T02:23:45.28106+00:00,"[""Belleza"", ""Gaming"", ""Geek""]",,,
b3ae15cf-68c5-44ee-9618-a464aa0fefda,Papi Sosa,Isaac,Gamer,rojo,pocas campañas,Su contenido es muy específico: clips de LoL. No proponer en frío — solo cuando hay brief con target que coincida con su comunidad.,"Construir contexto alrededor de lo que hace: setup, rutina, personalidad fuera del LoL.",2026-05-21T02:23:45.28106+00:00,"[""Gaming""]",,,
b4e2671a-212c-40d5-a08c-152a69ff2562,Jessica Angeles,Isaac,Lifestyle,amarillo,pocas campañas,"Perfil muy interesante: engagement real, comunidad que le cree. Contenido acotado al nicho del doblaje.","Mostrar más de lo que ya vive: convenciones, rutina, qué consume. Abre perfil sin perder identidad.",2026-05-21T02:23:45.28106+00:00,"[""Arte"", ""Belleza"", ""Educación"", ""Entretenimiento"", ""Geek""]",70% M / 30% H,25-34,México 67%
b6b0c0fb-b877-49d3-b52e-d4e15b1bdc2b,Soy Pan,Demian,Gamer,verde,muchas campañas,"Perfil bien establecido, comunidad fiel, nicho gaming muy bien definido. Conecta naturalmente con fútbol y lifestyle.",Elevar calidad y producción. Explorar campañas más ambiciosas que aprovechen su versatilidad.,2026-05-21T02:23:45.28106+00:00,"[""Gaming"", ""Lifestyle"", ""Entretenimiento""]",,,
bbf77f04-8537-439c-8b08-01e4ac86ad3a,Sailor Nat,Zazil,Gamer,rojo,pocas campañas,"Identidad visual clara, comunidad fiel, pero cuando el contenido se centra en bailes y trends, las posibilidades bajan.","Regresar a lifestyle, beauty y personalidad. GRWM, storytelling, contenido más cercano.",2026-05-21T02:23:45.28106+00:00,"[""Gaming"", ""Lifestyle"", ""Belleza""]",,,
bd2c00c9-2fa4-4737-996d-441825c06f17,Chaparrito,Demian,Gamer,amarillo,pocas campañas,"Evolucionó hacia perfil más lifestyle — gym, reflexiones. Aún falta conectar con marcas lifestyle.","Desarrollar contenido fitness sostenido: recetas, rutinas, seguimiento de proceso.",2026-05-21T02:23:45.28106+00:00,"[""Fitness"", ""Gaming"", ""Lifestyle"", ""Motivación""]",,,
bfe4970a-2395-4cfa-9a96-07827c210646,Kameoyo,Glo,Lifestyle,amarillo,normal,Actualmente más enfocada y con dirección definida. Nuevo formato en YouTube conectando muy bien.,Potencializar el formato de storytelling. Consolidar línea de comunicación más diferenciada.,2026-05-21T02:23:45.28106+00:00,"[""Comedia"", ""Educación"", ""Entretenimiento"", ""Familia"", ""Foodies"", ""Lifestyle"", ""Tecnología"", ""Wellness""]",,,
c02e399f-930d-4d78-b2ff-8ddd5a4b0e53,Paloma,Zazil,Lifestyle,amarillo,casi nada,"Etapa de transición, ajustando su contenido. Necesita consolidar identidad y constancia.",Definir con más claridad el tipo de contenido. Construir línea visual más sólida.,2026-05-21T02:23:45.28106+00:00,"[""Lifestyle"", ""Motivación"", ""Wellness""]",84.6% M / 15.4% H,25-34,México 45.5%
c36bd515-721c-4057-88b0-afea61c0e9f0,Tori,Sof,Gamer,amarillo,pocas campañas,"Inconsistencia: ya no hace streams ni sube contenido de forma constante. Audiencia 92% hombres, 25-34.","Regresar poco a poco con contenido que disfrute: streams casuales, gaming tranquilo, pláticas.",2026-05-21T02:23:45.28106+00:00,"[""Entretenimiento"", ""Gaming"", ""Geek"", ""Moda"", ""Motivación"", ""Tecnología""]",7.8% M / 92.2% H,25-34,México 66.3%
cd1e839e-2110-44a7-987e-80bdd7a84e04,Natalan,Leo,Gamer,rojo,normal,Muy activo en streams y YouTube pero no genera contenido variado ni vendible. Todo relacionado con gameplays.,Diversificar contenido y distribuir en todas las plataformas.,2026-05-21T02:23:45.28106+00:00,"[""Comedia"", ""Entretenimiento"", ""Familia"", ""Gaming"", ""Geek"", ""Lifestyle"", ""Tecnología"", ""Viajes""]",,,
cef814f0-53e4-41a1-80b3-af87a57680d1,Deus Amir,Leo,Gamer,amarillo,muchas campañas,Mayormente contenido en Warzone. Limita colaboraciones a campañas muy específicas.,"Enfocarse en su figura como competidor: entrenamientos, torneos. Marcas que valoran autenticidad.",2026-05-21T02:23:45.28106+00:00,"[""Entretenimiento"", ""Gaming"", ""Geek"", ""Lifestyle"", ""Tecnología""]",,,
d073d4d9-76a4-4657-848a-5b1dd69bb734,Arihessi,Sof,Gamer,amarillo,pocas campañas,Crecimiento positivo reciente. Retomó streams. Contenido de mascotas le ha abierto puertas interesantes.,Fortalecer mezcla gaming + lifestyle + mascotas. Universalizar temática más allá de los hurones.,2026-05-21T02:23:45.28106+00:00,"[""Cosplay"", ""Entretenimiento"", ""Gaming"", ""Lifestyle"", ""Tecnología""]",,,
d22c371a-a2f9-40dc-bcfd-c15c5736166d,Comiendo Soy Feliz,Fer,Lifestyle,amarillo,talento nuevo,Talento nuevo en MOVDI.,Definir pilares de contenido y comenzar a construir historial de marcas.,2026-05-21T02:23:45.28106+00:00,"[""Foodies"", ""Lifestyle""]",,,
d2aebad0-df8d-43db-bbb8-a5a5635a327c,Ryuget,Isaac,Gamer/Lifestyle,amarillo,pocas campañas,Tiene presencia y comunidad pero no mantiene actividad constante en redes. Fricción para las marcas.,"Necesita formato corto recurrente — opiniones sobre lanzamientos, comparativas. Sin consistencia, las marcas dudan.",2026-05-21T02:23:45.28106+00:00,"[""Gaming"", ""Lifestyle"", ""Motivación"", ""Tecnología""]",,,
d4379cda-82e0-4200-acd4-f763a39f4ef1,Eli Monsivais,Zazil,Lifestyle,verde,normal,"Perfil versátil, personalidad fuerte y facilidad para conectar con distintas categorías. Varias marcas preguntan por ella.","Mejorar organización y tiempos. Seguir posicionando en lifestyle, beauty y creativas.",2026-05-21T02:23:45.28106+00:00,"[""Arte"", ""Belleza"", ""Familia"", ""Lifestyle"", ""Moda""]",,,
d4a06bf6-a387-4454-8ebd-b3ce30703cff,Michelle,Isaac,Lifestyle,amarillo,pocas campañas,Acaba de entrar a MOVDI. Curva de crecimiento constante con buen engagement. Talento nuevo que necesita posicionamiento.,"Activar streams con más frecuencia. Explotar el lifestyle natural: viajes, outfits, rutinas. Es donde más marcas pueden entrar.",2026-05-21T02:23:45.28106+00:00,"[""Belleza"", ""Cosplay"", ""Gaming"", ""Geek"", ""Lifestyle"", ""Moda"", ""Viajes""]",,,
e7395a0f-4010-4c17-8a66-6281d42c7ef4,Rodezal,Glo,Gamer,amarillo,pocas campañas,Año más positivo que el anterior. Más estructurado con línea de contenido más clara.,Convertir creatividad en formatos y pilares definidos. Mantener constancia para aprovechar sus ideas.,2026-05-21T02:23:45.28106+00:00,"[""Comedia"", ""Educación"", ""Entretenimiento"", ""Gaming"", ""Geek"", ""Lifestyle"", ""Moda"", ""Tecnología"", ""Viajes""]",,,
e7623ba0-7e96-4d56-b15d-047fa06817b3,Oscar Amaury,Isaac,Gamer/Lifestyle,verde,normal,"Talento listo para cualquier tipo de propuesta. Métricas sólidas, consistencia e imagen clara.",Proponer activamente en todos los briefs donde haya afinidad real. El argumento se sostiene solo.,2026-05-21T02:23:45.28106+00:00,"[""Cosplay"", ""Entretenimiento"", ""Fitness"", ""Gaming"", ""Geek"", ""Lifestyle"", ""Viajes""]",,,
eadc1287-ccd5-428d-8f37-d22a09c6e565,Julieta Allegreti,Sof,Gamer,rojo,pocas campañas,"Contenido muy centrado en trends, bailes y audios virales. Necesita construir identidad más clara.","Profundizar en cosplay: GRWMs, transformaciones de personajes, proceso de maquillaje, anime.",2026-05-21T02:23:45.28106+00:00,"[""Cosplay"", ""Entretenimiento""]",,,
f66908a5-135d-4951-8f4c-6c82c5392c68,Andy Basurto,Fer,Lifestyle,amarillo,talento nuevo,Talento nuevo en MOVDI.,Definir pilares de contenido y comenzar a construir historial de marcas.,2026-05-21T02:23:45.28106+00:00,"[""Lifestyle""]",,,
f7abe6a5-e094-4c0c-a784-5807cafd95ea,Nuvia,Demian,Gamer,rojo,pocas campañas,"Publicaciones recientes son mayoría colaboraciones de marca, debilitando contenido orgánico.",Generar clips orgánicos de streams. Coordinar contenidos de inspiración para lifestyle.,2026-05-21T02:23:45.28106+00:00,"[""Cosplay"", ""Gaming"", ""Lifestyle""]",,,
